User,Email,Client,Project,Task,Description,Billable,Start date,Start time,End date,End time,Duration,Tags,Amount ()
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-03,08:55:23,2016-03-03,09:23:28,00:28:05,,
John Doe,john.doe@foo.com,Teaching,Dana Hall,,"",No,2016-03-03,09:23:29,2016-03-03,10:25:59,01:02:30,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-03,10:26:04,2016-03-03,11:23:16,00:57:12,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-03,11:23:22,2016-03-03,11:48:38,00:25:16,,
John Doe,john.doe@foo.com,Teaching,Private,,Joanne,No,2016-03-03,13:00:15,2016-03-03,14:03:15,01:03:00,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-03,14:08:01,2016-03-03,14:36:13,00:28:12,,
John Doe,john.doe@foo.com,Teaching,Private,,Web,No,2016-03-03,14:36:17,2016-03-03,17:51:37,03:15:20,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-03,17:51:41,2016-03-03,18:27:22,00:35:41,,
John Doe,john.doe@foo.com,Health & Personal Growth,Physical Therapy,,"",No,2016-03-04,08:44:36,2016-03-04,08:54:38,00:10:02,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-04,09:10:12,2016-03-04,09:30:48,00:20:36,,
John Doe,john.doe@foo.com,Teaching,Private,,Joanna,No,2016-03-04,09:30:50,2016-03-04,10:25:15,00:54:25,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-04,10:25:17,2016-03-04,10:53:46,00:28:29,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-04,14:04:25,2016-03-04,14:31:56,00:27:31,,
John Doe,john.doe@foo.com,Teaching,Private,,Rain,No,2016-03-04,14:31:57,2016-03-04,15:27:14,00:55:17,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-04,15:27:17,2016-03-04,15:44:52,00:17:35,,
John Doe,john.doe@foo.com,Health & Personal Growth,Gym,,"",No,2016-03-04,15:52:07,2016-03-04,16:42:17,00:50:10,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-05,09:40:00,2016-03-05,10:05:00,00:25:00,,
John Doe,john.doe@foo.com,Health & Personal Growth,Writing,,"",No,2016-03-05,10:05:47,2016-03-05,10:24:21,00:18:34,,
John Doe,john.doe@foo.com,Teaching,Discover Music & Art,,"",No,2016-03-05,10:34:09,2016-03-05,11:16:01,00:41:52,,
John Doe,john.doe@foo.com,Music Career,Songwriting,,"",No,2016-03-05,11:16:04,2016-03-05,12:00:26,00:44:21,,
John Doe,john.doe@foo.com,Teaching,Discover Music & Art,,"",No,2016-03-05,12:00:28,2016-03-05,12:28:55,00:28:28,,
John Doe,john.doe@foo.com,Music Career,Songwriting,,"",No,2016-03-05,12:29:33,2016-03-05,12:46:02,00:16:30,,
John Doe,john.doe@foo.com,Teaching,Discover Music & Art,,"",No,2016-03-05,12:46:03,2016-03-05,13:33:06,00:47:03,,
John Doe,john.doe@foo.com,Music Career,Songwriting,,"",No,2016-03-05,13:33:12,2016-03-05,13:46:19,00:13:07,,
John Doe,john.doe@foo.com,Teaching,Discover Music & Art,,"",No,2016-03-05,13:46:21,2016-03-05,14:56:48,01:10:27,,
John Doe,john.doe@foo.com,Music Career,Songwriting,,"",No,2016-03-05,14:56:52,2016-03-05,15:28:18,00:31:27,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-05,15:28:25,2016-03-05,15:55:59,00:27:34,,
John Doe,john.doe@foo.com,Teaching,Private,,Joan,No,2016-03-05,16:15:17,2016-03-05,17:03:56,00:48:39,,
John Doe,john.doe@foo.com,Music Career,Songwriting,,"",No,2016-03-05,21:00:00,2016-03-05,21:42:53,00:42:54,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-06,10:55:29,2016-03-06,11:02:46,00:07:17,,
John Doe,john.doe@foo.com,Teaching,Private,,great faith,No,2016-03-06,11:02:48,2016-03-06,13:06:59,02:04:11,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-06,13:07:01,2016-03-06,13:15:17,00:08:16,,
John Doe,john.doe@foo.com,Music Career,Songwriting,,"",No,2016-03-06,15:00:00,2016-03-06,17:20:57,02:20:57,,
John Doe,john.doe@foo.com,Health & Personal Growth,Physical Therapy,,"",No,2016-03-07,12:25:27,2016-03-07,12:34:47,00:09:20,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-07,14:09:34,2016-03-07,14:29:55,00:20:21,,
John Doe,john.doe@foo.com,Health & Personal Growth,Writing,,"",No,2016-03-07,14:48:44,2016-03-07,15:01:47,00:13:03,,
John Doe,john.doe@foo.com,Teaching,Discover Music & Art,,"",No,2016-03-07,15:01:50,2016-03-07,18:21:38,03:19:48,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-07,18:21:41,2016-03-07,18:45:11,00:23:30,,
John Doe,john.doe@foo.com,Teaching,Private,,Van,No,2016-03-08,09:00:28,2016-03-08,09:54:25,00:53:57,,
John Doe,john.doe@foo.com,Teaching,Private,,Dan & Tom,No,2016-03-08,12:00:32,2016-03-08,13:03:32,01:03:00,,
John Doe,john.doe@foo.com,Health & Personal Growth,Physical Therapy,,"",No,2016-03-08,13:03:04,2016-03-08,14:14:47,01:11:43,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-08,14:28:01,2016-03-08,14:47:01,00:19:00,,
John Doe,john.doe@foo.com,Teaching,Private,,Zoe,No,2016-03-08,14:47:32,2016-03-08,15:43:05,00:55:33,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-08,15:43:08,2016-03-08,16:14:47,00:31:39,,
John Doe,john.doe@foo.com,Teaching,Private,,Jackie,No,2016-03-08,18:15:18,2016-03-08,19:15:18,01:00:00,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-08,19:55:06,2016-03-08,20:06:06,00:11:00,,
John Doe,john.doe@foo.com,Teaching,Private,,micro lessons,No,2016-03-08,20:06:40,2016-03-08,21:11:27,01:04:47,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-08,21:11:29,2016-03-08,21:19:09,00:07:40,,
John Doe,john.doe@foo.com,Health & Personal Growth,Home Exercise,,"",No,2016-03-09,12:55:59,2016-03-09,13:10:04,00:14:05,,
John Doe,john.doe@foo.com,Teaching,Private,,Zach,No,2016-03-09,14:00:00,2016-03-09,14:30:00,00:30:00,,
John Doe,john.doe@foo.com,Health & Personal Growth,Writing,,"",No,2016-03-09,15:03:00,2016-03-09,15:09:00,00:06:00,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-09,15:19:00,2016-03-09,15:41:50,00:22:50,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-09,15:56:36,2016-03-09,16:11:57,00:15:21,,
John Doe,john.doe@foo.com,Teaching,ANMS,,"",No,2016-03-09,16:12:01,2016-03-09,18:47:18,02:35:17,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-09,18:47:26,2016-03-09,18:57:53,00:10:27,,
John Doe,john.doe@foo.com,Health & Personal Growth,Writing,,"",No,2016-03-10,08:56:06,2016-03-10,09:10:48,00:14:42,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-10,09:22:03,2016-03-10,10:00:10,00:38:07,,
John Doe,john.doe@foo.com,Music Career,Album Planning/Arranging,,"",No,2016-03-10,10:00:13,2016-03-10,12:54:58,02:54:45,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-10,13:36:54,2016-03-10,14:28:58,00:52:04,,
John Doe,john.doe@foo.com,Teaching,Private,,Web,No,2016-03-10,14:29:03,2016-03-10,18:28:53,03:59:50,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-10,18:28:55,2016-03-10,19:03:30,00:34:35,,
John Doe,john.doe@foo.com,Teaching,Private,,Katie,No,2016-03-11,10:29:28,2016-03-11,11:32:28,01:03:00,,
John Doe,john.doe@foo.com,Health & Personal Growth,Writing,,"",No,2016-03-11,11:36:01,2016-03-11,11:48:28,00:12:27,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-11,14:12:05,2016-03-11,14:32:32,00:20:27,,
John Doe,john.doe@foo.com,Teaching,Private,,Rain,No,2016-03-11,14:32:35,2016-03-11,15:28:23,00:55:48,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-11,15:28:25,2016-03-11,15:50:18,00:21:53,,
John Doe,john.doe@foo.com,Teaching,Private,,Jennifer,No,2016-03-11,16:00:09,2016-03-11,16:47:09,00:47:00,,
John Doe,john.doe@foo.com,Teaching,Private,,triad,No,2016-03-11,17:55:55,2016-03-11,19:02:55,01:07:00,,
John Doe,john.doe@foo.com,Health & Personal Growth,Writing,,"",No,2016-03-12,09:20:23,2016-03-12,09:34:13,00:13:50,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-12,10:00:59,2016-03-12,10:20:59,00:20:00,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-12,10:21:15,2016-03-12,10:32:46,00:11:31,,
John Doe,john.doe@foo.com,Teaching,Discover Music & Art,,"",No,2016-03-12,10:32:49,2016-03-12,12:27:06,01:54:17,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-12,12:27:09,2016-03-12,13:17:54,00:50:45,,
John Doe,john.doe@foo.com,Teaching,Discover Music & Art,,"",No,2016-03-12,13:45:04,2016-03-12,15:03:04,01:18:00,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-12,15:03:36,2016-03-12,15:30:50,00:27:14,,
John Doe,john.doe@foo.com,Health & Personal Growth,Writing,,"",No,2016-03-13,10:22:41,2016-03-13,10:27:14,00:04:33,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-13,13:13:18,2016-03-13,16:11:05,02:57:47,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-14,12:59:47,2016-03-14,13:18:49,00:19:02,,
John Doe,john.doe@foo.com,Music Training,Piano Practice,,"",No,2016-03-14,13:29:48,2016-03-14,13:40:28,00:10:40,piano,
John Doe,john.doe@foo.com,Teaching,Discover Music & Art,,"",No,2016-03-14,13:40:30,2016-03-14,15:03:56,01:23:26,,
John Doe,john.doe@foo.com,Music Training,Piano Practice,,"",No,2016-03-14,15:17:25,2016-03-14,15:32:01,00:14:36,piano,
John Doe,john.doe@foo.com,Health & Personal Growth,Writing,,"",No,2016-03-14,15:32:09,2016-03-14,15:45:05,00:12:56,,
John Doe,john.doe@foo.com,Teaching,Discover Music & Art,,"",No,2016-03-14,15:45:29,2016-03-14,16:47:29,01:02:00,,
John Doe,john.doe@foo.com,Teaching,Discover Music & Art,,"",No,2016-03-14,17:00:13,2016-03-14,18:27:47,01:27:34,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-14,18:27:50,2016-03-14,18:37:26,00:09:36,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-14,18:37:32,2016-03-14,19:14:45,00:37:13,,
John Doe,john.doe@foo.com,Teaching,Private,,Joanna,No,2016-03-14,19:14:48,2016-03-14,20:08:05,00:53:17,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-14,20:08:18,2016-03-14,20:31:09,00:22:51,,
John Doe,john.doe@foo.com,Teaching,Private,,Van,No,2016-03-15,09:00:17,2016-03-15,10:00:17,01:00:00,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-15,10:09:11,2016-03-15,10:19:12,00:10:01,,
John Doe,john.doe@foo.com,Music Training,Piano Lesson,,"",No,2016-03-15,10:19:14,2016-03-15,10:59:20,00:40:06,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-15,10:59:23,2016-03-15,11:10:12,00:10:49,,
John Doe,john.doe@foo.com,Health & Personal Growth,Physical Therapy,,"",No,2016-03-15,13:14:58,2016-03-15,14:09:37,00:54:39,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-15,15:12:08,2016-03-15,15:31:20,00:19:12,,
John Doe,john.doe@foo.com,Teaching,Private,,Zoe,No,2016-03-15,15:31:28,2016-03-15,16:29:33,00:58:05,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-15,16:29:36,2016-03-15,16:54:35,00:24:59,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-15,17:07:56,2016-03-15,18:07:58,01:00:02,,
John Doe,john.doe@foo.com,Teaching,Private,,Jackie,No,2016-03-15,18:15:32,2016-03-15,19:18:51,01:03:19,,
John Doe,john.doe@foo.com,Teaching,Private,,Katie,No,2016-03-16,08:45:22,2016-03-16,09:45:22,01:00:00,,
John Doe,john.doe@foo.com,Teaching,Private,,Crystal,No,2016-03-16,09:45:55,2016-03-16,10:50:55,01:05:00,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-16,15:46:26,2016-03-16,16:02:07,00:15:41,,
John Doe,john.doe@foo.com,Music Training,Piano Practice,,"",No,2016-03-16,16:10:36,2016-03-16,16:52:06,00:41:30,piano,
John Doe,john.doe@foo.com,Music Career,Songwriting,,"",No,2016-03-16,16:52:32,2016-03-16,17:01:33,00:09:01,,
John Doe,john.doe@foo.com,Teaching,ANMS,,"",No,2016-03-16,17:01:36,2016-03-16,18:45:54,01:44:18,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-16,18:45:57,2016-03-16,19:01:47,00:15:50,,
John Doe,john.doe@foo.com,Music Training,Piano Practice,,"",No,2016-03-17,10:40:20,2016-03-17,10:58:24,00:18:04,piano,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-17,10:58:31,2016-03-17,11:01:21,00:02:50,,
John Doe,john.doe@foo.com,Teaching,Private,,Zach,No,2016-03-17,11:01:26,2016-03-17,11:30:54,00:29:28,,
John Doe,john.doe@foo.com,Health & Personal Growth,Writing,,"",No,2016-03-17,11:32:40,2016-03-17,11:55:01,00:22:21,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-17,14:05:17,2016-03-17,14:31:04,00:25:47,,
John Doe,john.doe@foo.com,Teaching,Private,,Web,No,2016-03-17,14:31:07,2016-03-17,18:33:34,04:02:27,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-17,18:33:37,2016-03-17,18:59:13,00:25:36,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-18,08:40:18,2016-03-18,09:00:00,00:19:42,,
John Doe,john.doe@foo.com,Professional Growth,Business Meeting,,Bay breakfast,No,2016-03-18,09:00:04,2016-03-18,10:09:32,01:09:28,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-18,10:09:38,2016-03-18,10:34:49,00:25:11,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-18,10:43:35,2016-03-18,12:49:45,02:06:10,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-18,13:02:17,2016-03-18,13:34:15,00:31:58,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-18,13:34:40,2016-03-18,13:39:08,00:04:28,,
John Doe,john.doe@foo.com,Teaching,Private,,Amanda,No,2016-03-18,13:39:17,2016-03-18,14:32:08,00:52:51,,
John Doe,john.doe@foo.com,Teaching,Private,,Rain,No,2016-03-18,14:32:11,2016-03-18,15:28:25,00:56:14,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-18,15:28:41,2016-03-18,15:55:26,00:26:45,,
John Doe,john.doe@foo.com,Teaching,Private,,Jennifer,No,2016-03-18,16:00:04,2016-03-18,16:50:04,00:50:00,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-18,16:50:25,2016-03-18,16:58:25,00:08:00,,
John Doe,john.doe@foo.com,Music Career,Songwriting,,"",No,2016-03-18,16:58:50,2016-03-18,18:13:37,01:14:47,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-19,09:53:53,2016-03-19,10:18:54,00:25:01,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-19,10:18:57,2016-03-19,10:33:23,00:14:26,,
John Doe,john.doe@foo.com,Teaching,Discover Music & Art,,"",No,2016-03-19,10:33:27,2016-03-19,11:22:11,00:48:44,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-19,11:22:13,2016-03-19,12:02:47,00:40:33,,
John Doe,john.doe@foo.com,Teaching,Discover Music & Art,,"",No,2016-03-19,12:01:01,2016-03-19,12:24:59,00:23:58,,
John Doe,john.doe@foo.com,Music Training,Piano Practice,,"",No,2016-03-19,13:32:17,2016-03-19,13:50:58,00:18:41,piano,
John Doe,john.doe@foo.com,Teaching,Discover Music & Art,,"",No,2016-03-19,13:51:18,2016-03-19,14:53:45,01:02:27,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-19,14:54:23,2016-03-19,15:43:53,00:49:30,,
John Doe,john.doe@foo.com,Teaching,Private,,Joanna,No,2016-03-19,15:45:29,2016-03-19,16:40:29,00:55:00,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-19,16:40:00,2016-03-19,17:26:46,00:46:46,,
John Doe,john.doe@foo.com,Music Career,Album Planning/Arranging,,"",No,2016-03-20,09:16:00,2016-03-20,11:13:51,01:57:51,,
John Doe,john.doe@foo.com,Health & Personal Growth,Physical Therapy,,"",No,2016-03-20,21:41:36,2016-03-20,21:53:12,00:11:36,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-21,08:24:18,2016-03-21,08:33:19,00:09:01,,
John Doe,john.doe@foo.com,Health & Personal Growth,Writing,,"",No,2016-03-21,08:33:23,2016-03-21,09:22:53,00:49:30,,
John Doe,john.doe@foo.com,Music Career,Songwriting,,"",No,2016-03-21,09:23:34,2016-03-21,09:45:09,00:21:35,,
John Doe,john.doe@foo.com,Health & Personal Growth,Gym,,"",No,2016-03-21,11:07:03,2016-03-21,11:59:17,00:52:14,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-21,13:01:49,2016-03-21,13:29:42,00:27:53,,
John Doe,john.doe@foo.com,Music Career,Songwriting,,"",No,2016-03-21,13:27:00,2016-03-21,13:37:00,00:10:00,,
John Doe,john.doe@foo.com,Teaching,Discover Music & Art,,"",No,2016-03-21,13:37:00,2016-03-21,15:01:56,01:24:57,,
John Doe,john.doe@foo.com,Music Career,Songwriting,,"",No,2016-03-21,15:02:00,2016-03-21,15:31:00,00:29:00,,
John Doe,john.doe@foo.com,Teaching,Discover Music & Art,,"",No,2016-03-21,15:31:00,2016-03-21,16:56:00,01:25:00,,
John Doe,john.doe@foo.com,Teaching,Discover Music & Art,,"",No,2016-03-21,17:29:28,2016-03-21,18:45:00,01:15:32,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-21,18:45:05,2016-03-21,19:03:31,00:18:26,,
John Doe,john.doe@foo.com,Music Career,Songwriting,,"",No,2016-03-21,19:03:34,2016-03-21,19:38:53,00:35:19,,
John Doe,john.doe@foo.com,Teaching,Private,,Katie,No,2016-03-22,09:29:08,2016-03-22,10:34:08,01:05:00,,
John Doe,john.doe@foo.com,Health & Personal Growth,Physical Therapy,,"",No,2016-03-22,10:53:03,2016-03-22,11:07:45,00:14:42,,
John Doe,john.doe@foo.com,Health & Personal Growth,Physical Therapy,,"",No,2016-03-22,13:02:00,2016-03-22,14:04:00,01:02:00,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-22,15:09:51,2016-03-22,15:32:43,00:22:52,,
John Doe,john.doe@foo.com,Teaching,Private,,Zoe,No,2016-03-22,15:32:45,2016-03-22,16:30:20,00:57:35,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-22,16:30:37,2016-03-22,16:50:04,00:19:27,,
John Doe,john.doe@foo.com,Teaching,Private,,Jackie,No,2016-03-22,18:15:05,2016-03-22,19:17:07,01:02:02,,
John Doe,john.doe@foo.com,Health & Personal Growth,Doctor Visit,,physical,No,2016-03-23,08:07:27,2016-03-23,10:04:17,01:56:50,,
John Doe,john.doe@foo.com,Music Training,Travel,,"",No,2016-03-23,11:06:14,2016-03-23,12:04:00,00:57:46,,
John Doe,john.doe@foo.com,Music Training,Drum Lesson,,"",No,2016-03-23,12:04:02,2016-03-23,13:03:06,00:59:04,,
John Doe,john.doe@foo.com,Music Training,Travel,,"",No,2016-03-23,13:03:08,2016-03-23,13:58:19,00:55:11,,
John Doe,john.doe@foo.com,Teaching,Discover Music & Art,,"",No,2016-03-23,14:59:19,2016-03-23,15:29:49,00:30:30,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-23,15:59:41,2016-03-23,16:11:02,00:11:21,,
John Doe,john.doe@foo.com,Music Training,Piano Practice,,"",No,2016-03-23,16:11:18,2016-03-23,16:17:29,00:06:11,,
John Doe,john.doe@foo.com,Teaching,ANMS,,"",No,2016-03-23,16:18:01,2016-03-23,16:55:36,00:37:35,,
John Doe,john.doe@foo.com,Music Training,Piano Practice,,"",No,2016-03-23,16:55:42,2016-03-23,17:26:47,00:31:05,,
John Doe,john.doe@foo.com,Teaching,ANMS,,"",No,2016-03-23,17:29:49,2016-03-23,18:12:15,00:42:26,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-23,18:12:20,2016-03-23,18:36:13,00:23:53,,
John Doe,john.doe@foo.com,Health & Personal Growth,Physical Therapy,,"",No,2016-03-24,08:22:07,2016-03-24,08:38:48,00:16:41,,
John Doe,john.doe@foo.com,Health & Personal Growth,Therapy,,"",No,2016-03-24,09:34:35,2016-03-24,11:20:02,01:45:27,,
John Doe,john.doe@foo.com,Music Career,Demos,,"",No,2016-03-24,11:20:12,2016-03-24,11:30:22,00:10:10,,
John Doe,john.doe@foo.com,Teaching,Private,,Zach,No,2016-03-24,11:30:51,2016-03-24,12:06:18,00:35:27,,
John Doe,john.doe@foo.com,Music Career,Demos,,"",No,2016-03-24,12:06:50,2016-03-24,13:42:03,01:35:13,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-24,13:42:07,2016-03-24,14:25:58,00:43:51,,
John Doe,john.doe@foo.com,Teaching,Private,,Web,No,2016-03-24,14:31:48,2016-03-24,18:31:38,03:59:50,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-24,18:31:40,2016-03-24,18:59:53,00:28:13,,
John Doe,john.doe@foo.com,Teaching,Private,,Joan,No,2016-03-24,18:59:57,2016-03-24,19:47:23,00:47:26,,
John Doe,john.doe@foo.com,Health & Personal Growth,Writing,,"",No,2016-03-25,09:45:28,2016-03-25,10:05:28,00:20:00,,
John Doe,john.doe@foo.com,Teaching,Private,,Dan & Tom,No,2016-03-25,11:00:10,2016-03-25,12:07:40,01:07:30,,
John Doe,john.doe@foo.com,Admin,"E-mails, Finances, Scheduling",,"",No,2016-03-25,12:07:00,2016-03-25,12:45:26,00:38:26,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-25,13:06:31,2016-03-25,13:30:13,00:23:42,,
John Doe,john.doe@foo.com,Teaching,Private,,Joanna,No,2016-03-25,13:30:16,2016-03-25,14:19:52,00:49:36,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-25,14:19:56,2016-03-25,14:30:15,00:10:19,,
John Doe,john.doe@foo.com,Teaching,Private,,Rain,No,2016-03-25,14:30:22,2016-03-25,15:26:41,00:56:19,,
John Doe,john.doe@foo.com,Teaching,Driving,,"",No,2016-03-25,15:26:47,2016-03-25,16:00:07,00:33:20,,
John Doe,john.doe@foo.com,Teaching,Private,,Jennifer,No,2016-03-25,16:00:12,2016-03-25,16:54:37,00:54:25,,
